ticker,name,sector,start_date,end_date,lot_size
RELIANCE,Reliance Industries,Energy,1995-01-01,,500
ONGC,Oil & Natural Gas Corp,Energy,1995-01-01,,2250
BPCL,Bharat Petroleum Corp,Energy,1995-01-01,,1975
IOC,Indian Oil Corp,Energy,1996-01-01,,4875
GAIL,GAIL India,Energy,1997-01-01,,3550
HINDPETRO,Hindustan Petroleum,Energy,1995-01-01,,2025
OIL,Oil India,Energy,2009-09-30,,1400
PETRONET,Petronet LNG,Energy,2004-03-26,,1900
TCS,Tata Consultancy Services,Information Technology,2004-08-25,,225
INFY,Infosys Ltd,Information Technology,1995-01-01,,400
HCLTECH,HCL Technologies,Information Technology,2000-01-06,,400
WIPRO,Wipro Ltd,Information Technology,1995-01-01,,3000
TECHM,Tech Mahindra,Information Technology,2006-08-28,,600
LTIM,LTIMindtree Ltd,Information Technology,2016-07-21,2025-12-31,
PERSISTENT,Persistent Systems,Information Technology,2010-04-06,,125
COFORGE,Coforge Ltd,Information Technology,2004-08-11,,475
MPHASIS,Mphasis Ltd,Information Technology,2000-08-16,,275
OFSS,Oracle Financial Services,Information Technology,2002-01-01,,100
HDFCBANK,HDFC Bank,Financials,1995-11-08,,650
ICICIBANK,ICICI Bank,Financials,1997-09-17,,700
SBIN,State Bank of India,Financials,1995-01-01,,750
KOTAKBANK,Kotak Mahindra Bank,Financials,1995-01-01,,2000
AXISBANK,Axis Bank,Financials,1998-11-16,,625
INDUSINDBK,IndusInd Bank,Financials,1998-01-01,,700
BAJFINANCE,Bajaj Finance,Financials,1995-01-01,,750
BAJAJFINSV,Bajaj Finserv,Financials,2008-05-26,,300
SBILIFE,SBI Life Insurance,Financials,2017-10-03,,375
HDFCLIFE,HDFC Life Insurance,Financials,2017-11-17,,1100
ICICIGI,ICICI Lombard General Insurance,Financials,2017-09-27,,325
ICICIPRULI,ICICI Prudential Life,Financials,2016-09-29,,925
BANKBARODA,Bank of Baroda,Financials,1997-01-01,,2925
PNB,Punjab National Bank,Financials,2002-04-24,,8000
CANBK,Canara Bank,Financials,2002-12-23,,6750
FEDERALBNK,Federal Bank,Financials,1995-01-01,,2500
IDFCFIRSTB,IDFC First Bank,Financials,2015-11-06,,9275
CHOLAFIN,Cholamandalam Investment,Financials,1996-01-01,,625
SHRIRAMFIN,Shriram Finance,Financials,1996-01-01,,825
MUTHOOTFIN,Muthoot Finance,Financials,2011-05-06,,275
LICHSGFIN,LIC Housing Finance,Financials,1995-01-01,,1000
HDFCAMC,HDFC Asset Management,Financials,2018-08-06,,300
