ticker,name,isin,instrument_key,lot_size,freeze_quantity,snapshot_date
RELIANCE,RELIANCE INDUSTRIES LTD,INE002A01018,NSE_EQ|INE002A01018,500,100000,2026-09-08
ONGC,OIL AND NATURAL GAS CORP.,INE213A01029,NSE_EQ|INE213A01029,2250,100000,2026-09-08
BPCL,BHARAT PETROLEUM CORP  LT,INE029A01011,NSE_EQ|INE029A01011,1975,100000,2026-09-08
IOC,INDIAN OIL CORP LTD,INE242A01010,NSE_EQ|INE242A01010,4875,100000,2026-09-08
GAIL,GAIL (INDIA) LTD,INE129A01019,NSE_EQ|INE129A01019,3550,100000,2026-09-08
HINDPETRO,HINDUSTAN PETROLEUM CORP,INE094A01015,NSE_EQ|INE094A01015,2025,100000,2026-09-08
OIL,OIL INDIA LTD,INE274J01014,NSE_EQ|INE274J01014,1400,100000,2026-09-08
PETRONET,PETRONET LNG LIMITED,INE347G01014,NSE_EQ|INE347G01014,1900,100000,2026-09-08
TCS,TATA CONSULTANCY SERV LT,INE467B01029,NSE_EQ|INE467B01029,225,100000,2026-09-08
INFY,INFOSYS LIMITED,INE009A01021,NSE_EQ|INE009A01021,400,100000,2026-09-08
HCLTECH,HCL TECHNOLOGIES LTD,INE860A01027,NSE_EQ|INE860A01027,400,100000,2026-09-08
WIPRO,WIPRO LTD,INE075A01022,NSE_EQ|INE075A01022,3000,100000,2026-09-08
TECHM,TECH MAHINDRA LIMITED,INE669C01036,NSE_EQ|INE669C01036,600,100000,2026-09-08
PERSISTENT,PERSISTENT SYSTEMS LTD,INE262H01021,NSE_EQ|INE262H01021,125,100000,2026-09-08
COFORGE,COFORGE LIMITED,INE591G01025,NSE_EQ|INE591G01025,475,100000,2026-09-08
MPHASIS,MPHASIS LIMITED,INE356A01018,NSE_EQ|INE356A01018,275,100000,2026-09-08
OFSS,ORACLE FIN SERV SOFT LTD.,INE881D01027,NSE_EQ|INE881D01027,100,100000,2026-09-08
HDFCBANK,HDFC BANK LTD,INE040A01034,NSE_EQ|INE040A01034,650,100000,2026-09-08
ICICIBANK,ICICI BANK LTD.,INE090A01021,NSE_EQ|INE090A01021,700,100000,2026-09-08
SBIN,STATE BANK OF INDIA,INE062A01020,NSE_EQ|INE062A01020,750,100000,2026-09-08
KOTAKBANK,KOTAK MAHINDRA BANK LTD,INE237A01036,NSE_EQ|INE237A01036,2000,100000,2026-09-08
AXISBANK,AXIS BANK LIMITED,INE238A01034,NSE_EQ|INE238A01034,625,100000,2026-09-08
INDUSINDBK,INDUSIND BANK LIMITED,INE095A01012,NSE_EQ|INE095A01012,700,100000,2026-09-08
BAJFINANCE,BAJAJ FINANCE LIMITED,INE296A01032,NSE_EQ|INE296A01032,750,100000,2026-09-08
BAJAJFINSV,BAJAJ FINSERV LTD.,INE918I01026,NSE_EQ|INE918I01026,300,100000,2026-09-08
SBILIFE,SBI LIFE INSURANCE CO LTD,INE123W01016,NSE_EQ|INE123W01016,375,100000,2026-09-08
HDFCLIFE,HDFC LIFE INS CO LTD,INE795G01014,NSE_EQ|INE795G01014,1100,100000,2026-09-08
ICICIGI,ICICI LOMBARD GIC LIMITED,INE765G01017,NSE_EQ|INE765G01017,325,100000,2026-09-08
ICICIPRULI,ICICI PRU LIFE INS CO LTD,INE726G01019,NSE_EQ|INE726G01019,925,100000,2026-09-08
BANKBARODA,BANK OF BARODA,INE028A01039,NSE_EQ|INE028A01039,2925,100000,2026-09-08
PNB,PUNJAB NATIONAL BANK,INE160A01022,NSE_EQ|INE160A01022,8000,100000,2026-09-08
CANBK,CANARA BANK,INE476A01022,NSE_EQ|INE476A01022,6750,100000,2026-09-08
FEDERALBNK,FEDERAL BANK LTD,INE171A01029,NSE_EQ|INE171A01029,2500,100000,2026-09-08
IDFCFIRSTB,IDFC FIRST BANK LIMITED,INE092T01019,NSE_EQ|INE092T01019,9275,100000,2026-09-08
CHOLAFIN,CHOLAMANDALAM IN & FIN CO,INE121A01024,NSE_EQ|INE121A01024,625,100000,2026-09-08
SHRIRAMFIN,SHRIRAM FINANCE LIMITED,INE721A01047,NSE_EQ|INE721A01047,825,100000,2026-09-08
MUTHOOTFIN,MUTHOOT FINANCE LIMITED,INE414G01012,NSE_EQ|INE414G01012,275,100000,2026-09-08
LICHSGFIN,LIC HOUSING FINANCE LTD,INE115A01026,NSE_EQ|INE115A01026,1000,100000,2026-09-08
HDFCAMC,HDFC AMC LIMITED,INE127D01025,NSE_EQ|INE127D01025,300,100000,2026-09-08
SBICARD,SBI CARDS & PAY SER LTD,INE018E01016,NSE_EQ|INE018E01016,800,100000,2026-09-08
HINDUNILVR,HINDUSTAN UNILEVER LTD.,INE030A01027,NSE_EQ|INE030A01027,300,100000,2026-09-08
ITC,ITC LTD,INE154A01025,NSE_EQ|INE154A01025,1725,100000,2026-09-08
NESTLEIND,NESTLE INDIA LIMITED,INE239A01024,NSE_EQ|INE239A01024,500,100000,2026-09-08
BRITANNIA,BRITANNIA INDUSTRIES LTD,INE216A01030,NSE_EQ|INE216A01030,125,100000,2026-09-08
DABUR,DABUR INDIA LTD,INE016A01026,NSE_EQ|INE016A01026,1250,100000,2026-09-08
GODREJCP,GODREJ CONSUMER PRODUCTS,INE102D01028,NSE_EQ|INE102D01028,500,100000,2026-09-08
MARICO,MARICO LIMITED,INE196A01026,NSE_EQ|INE196A01026,1200,100000,2026-09-08
COLPAL,COLGATE PALMOLIVE LTD.,INE259A01022,NSE_EQ|INE259A01022,275,100000,2026-09-08
TATACONSUM,TATA CONSUMER PRODUCT LTD,INE192A01025,NSE_EQ|INE192A01025,550,100000,2026-09-08
UBL,UNITED BREWERIES LTD,INE686F01025,NSE_EQ|INE686F01025,0,100000,2026-09-08
VBL,VARUN BEVERAGES LIMITED,INE200M01039,NSE_EQ|INE200M01039,1275,100000,2026-09-08
PGHH,P&G HYGIENE & HEALTH CARE,INE179A01014,NSE_EQ|INE179A01014,0,100000,2026-09-08
MARUTI,MARUTI SUZUKI INDIA LTD.,INE585B01010,NSE_EQ|INE585B01010,50,100000,2026-09-08
M&M,MAHINDRA & MAHINDRA LTD,INE101A01026,NSE_EQ|INE101A01026,200,100000,2026-09-08
TMPV,TATA MOTORS PASS VEH LTD,INE155A01022,NSE_EQ|INE155A01022,1600,100000,2026-09-08
BAJAJ-AUTO,BAJAJ AUTO LIMITED,INE917I01010,NSE_EQ|INE917I01010,75,100000,2026-09-08
EICHERMOT,EICHER MOTORS LTD,INE066A01021,NSE_EQ|INE066A01021,100,100000,2026-09-08
HEROMOTOCO,HERO MOTOCORP LIMITED,INE158A01026,NSE_EQ|INE158A01026,150,100000,2026-09-08
TVSMOTOR,TVS MOTOR COMPANY  LTD,INE494B01023,NSE_EQ|INE494B01023,175,100000,2026-09-08
TITAN,TITAN COMPANY LIMITED,INE280A01028,NSE_EQ|INE280A01028,175,100000,2026-09-08
TRENT,TRENT LTD,INE849A01020,NSE_EQ|INE849A01020,225,100000,2026-09-08
DMART,AVENUE SUPERMARTS LIMITED,INE192R01011,NSE_EQ|INE192R01011,150,100000,2026-09-08
ASIANPAINT,ASIAN PAINTS LIMITED,INE021A01026,NSE_EQ|INE021A01026,250,100000,2026-09-08
HAVELLS,HAVELLS INDIA LIMITED,INE176B01034,NSE_EQ|INE176B01034,500,100000,2026-09-08
VOLTAS,VOLTAS LTD,INE226A01021,NSE_EQ|INE226A01021,375,100000,2026-09-08
PAGEIND,PAGE INDUSTRIES LTD,INE761H01022,NSE_EQ|INE761H01022,20,100000,2026-09-08
JUBLFOOD,JUBILANT FOODWORKS LTD,INE797F01020,NSE_EQ|INE797F01020,1250,100000,2026-09-08
INDHOTEL,THE INDIAN HOTELS CO. LTD,INE053A01029,NSE_EQ|INE053A01029,1000,100000,2026-09-08
ETERNAL,ETERNAL LIMITED,INE758T01015,NSE_EQ|INE758T01015,2425,100000,2026-09-08
BOSCHLTD,BOSCH LIMITED,INE323A01026,NSE_EQ|INE323A01026,25,100000,2026-09-08
MOTHERSON,SAMVRDHNA MTHRSN INTL LTD,INE775A01035,NSE_EQ|INE775A01035,6150,100000,2026-09-08
BALKRISIND,BALKRISHNA IND. LTD,INE787D01026,NSE_EQ|INE787D01026,0,100000,2026-09-08
MRF,MRF LTD,INE883A01011,NSE_EQ|INE883A01011,0,100000,2026-09-08
SUNPHARMA,SUN PHARMACEUTICAL IND L,INE044A01036,NSE_EQ|INE044A01036,350,100000,2026-09-08
DRREDDY,DR. REDDY S LABORATORIES,INE089A01031,NSE_EQ|INE089A01031,625,100000,2026-09-08
CIPLA,CIPLA LTD,INE059A01026,NSE_EQ|INE059A01026,425,100000,2026-09-08
DIVISLAB,DIVI S LABORATORIES LTD,INE361B01024,NSE_EQ|INE361B01024,100,100000,2026-09-08
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,INE437A01024,NSE_EQ|INE437A01024,125,100000,2026-09-08
LUPIN,LUPIN LIMITED,INE326A01037,NSE_EQ|INE326A01037,425,100000,2026-09-08
AUROPHARMA,AUROBINDO PHARMA LTD,INE406A01037,NSE_EQ|INE406A01037,550,100000,2026-09-08
TORNTPHARM,TORRENT PHARMACEUTICALS L,INE685A01028,NSE_EQ|INE685A01028,125,100000,2026-09-08
ALKEM,ALKEM LABORATORIES LTD.,INE540L01014,NSE_EQ|INE540L01014,125,100000,2026-09-08
ZYDUSLIFE,ZYDUS LIFESCIENCES LTD,INE010B01027,NSE_EQ|INE010B01027,900,100000,2026-09-08
BIOCON,BIOCON LIMITED.,INE376G01013,NSE_EQ|INE376G01013,2500,100000,2026-09-08
MAXHEALTH,MAX HEALTHCARE INS LTD,INE027H01010,NSE_EQ|INE027H01010,525,100000,2026-09-08
LT,LARSEN & TOUBRO LTD.,INE018A01030,NSE_EQ|INE018A01030,175,100000,2026-09-08
SIEMENS,SIEMENS LTD,INE003A01024,NSE_EQ|INE003A01024,175,100000,2026-09-08
ABB,ABB INDIA LIMITED,INE117A01022,NSE_EQ|INE117A01022,125,100000,2026-09-08
CUMMINSIND,CUMMINS INDIA LTD,INE298A01020,NSE_EQ|INE298A01020,200,100000,2026-09-08
BEL,BHARAT ELECTRONICS LTD,INE263A01024,NSE_EQ|INE263A01024,1425,100000,2026-09-08
HAL,HINDUSTAN AERONAUTICS LTD,INE066F01020,NSE_EQ|INE066F01020,150,100000,2026-09-08
BHEL,BHEL,INE257A01026,NSE_EQ|INE257A01026,2625,100000,2026-09-08
CONCOR,CONTAINER CORP OF IND LTD,INE111A01025,NSE_EQ|INE111A01025,1250,100000,2026-09-08
ADANIPORTS,ADANI PORT & SEZ LTD,INE742F01042,NSE_EQ|INE742F01042,475,100000,2026-09-08
INDIGO,INTERGLOBE AVIATION LTD,INE646L01027,NSE_EQ|INE646L01027,150,100000,2026-09-08
POLYCAB,POLYCAB INDIA LIMITED,INE455K01017,NSE_EQ|INE455K01017,125,100000,2026-09-08
APLAPOLLO,APL APOLLO TUBES LTD,INE702C01027,NSE_EQ|INE702C01027,350,100000,2026-09-08
