ticker,name,sector,start_date,end_date
AAPL,Apple Inc,Information Technology,1990-01-01,
MSFT,Microsoft Corp,Information Technology,1990-01-01,
NVDA,NVIDIA Corp,Information Technology,1999-01-22,
AVGO,Broadcom Inc,Information Technology,2009-08-06,
ORCL,Oracle Corp,Information Technology,1990-01-01,
CRM,Salesforce Inc,Information Technology,2004-06-23,
AMD,Advanced Micro Devices,Information Technology,1990-01-01,
ADBE,Adobe Inc,Information Technology,1990-01-01,
CSCO,Cisco Systems,Information Technology,1990-02-16,
ACN,Accenture plc,Information Technology,2001-07-19,
INTC,Intel Corp,Information Technology,1990-01-01,
QCOM,Qualcomm Inc,Information Technology,1991-12-13,
TXN,Texas Instruments,Information Technology,1990-01-01,
IBM,International Business Machines,Information Technology,1990-01-01,
AMAT,Applied Materials,Information Technology,1990-01-01,
MU,Micron Technology,Information Technology,1990-01-01,
LRCX,Lam Research,Information Technology,1990-05-11,
ADI,Analog Devices,Information Technology,1990-01-01,
KLAC,KLA Corp,Information Technology,1990-01-01,
NOW,ServiceNow Inc,Information Technology,2012-06-29,
INTU,Intuit Inc,Information Technology,1993-03-12,
PANW,Palo Alto Networks,Information Technology,2012-07-20,
SNPS,Synopsys Inc,Information Technology,1992-02-26,
CDNS,Cadence Design Systems,Information Technology,1990-01-01,
GOOGL,Alphabet Inc Class A,Communication Services,2004-08-19,
META,Meta Platforms,Communication Services,2012-05-18,
NFLX,Netflix Inc,Communication Services,2002-05-23,
DIS,Walt Disney Co,Communication Services,1990-01-01,
CMCSA,Comcast Corp,Communication Services,1990-01-01,
T,AT&T Inc,Communication Services,1990-01-01,
VZ,Verizon Communications,Communication Services,1990-01-01,
TMUS,T-Mobile US,Communication Services,2007-04-19,
EA,Electronic Arts,Communication Services,1990-01-01,
TTWO,Take-Two Interactive,Communication Services,1997-04-15,
OMC,Omnicom Group,Communication Services,1990-01-01,
AMZN,Amazon.com Inc,Consumer Discretionary,1997-05-15,
TSLA,Tesla Inc,Consumer Discretionary,2010-06-29,
HD,Home Depot,Consumer Discretionary,1990-01-01,
